rank,target,source,transcription
187,usunąć,видалити; усунути,усуньонч
188,pozostawić,залишити,позоставіч
189,zmodyfikować,змінити; модифікувати,змодифіковач
190,dostosować,адаптувати; налаштувати,достосовач
191,przywrócić,відновити,пшивручич
192,zabezpieczenie,захист; забезпечення,забезпеченє
193,uproszczenie,спрощення,упрошченє
194,skomplikowany,складний,скомпліковани
195,prosty,простий,прости
196,wydajność,продуктивність; ефективність,видайнощч
197,jakość,якість,якошч
198,niezawodny,надійний; безвідмовний,нєзаводни
199,awaria,аварія; збій,аварія
200,rozwiązany,вирішений,розвйонзани
201,plan,план,план
202,strategia,стратегія,стратегія
203,celowy,цільовий; навмисний,целови
204,niecelowy,недоцільний; безцільний,нєцелови
205,priorytetowy,пріоритетний,пріоритетови
206,zasób,ресурс; запас,засуб
207,dostęp,доступ,достемп
208,ogólny,загальний,огульни
209,szczegółowy,детальний; докладний,щчегулови
210,ramy,межі; рамки,рами
211,limit,ліміт; обмеження,ліміт
212,eliminować,усувати; виключати,еліміновач
213,zastąpić,замінити,застемпіч
214,utrudnić,ускладнити,утрудніч
215,ułatwić,полегшити,улавіч
216,skupić,зосередити,скупіч
217,rozproszyć,розсіяти; відволікти,розпрошич
218,zarządzać,керувати; управляти,зажонджач
219,kontrola,контроль,контроль
220,nadzór,нагляд,надзур
221,monitorować,моніторити; відстежувати,моніторовач
222,analiza,аналіз,аналіза
223,wniosek,висновок; заява,вньосек
224,podsumowanie,підсумок,подсумованє
225,raport,звіт; доповідь,рапорт
226,dokument,dokument; документ,документ
227,załącznik,додаток,заулончнік
228,podstawa,підстава; основа,подстава
229,uzależnić,залежати; поставити в залежність,узалєжніч
230,warunkować,обумовлювати,варунковач
231,przewidywalny,передбачуваний,пшевідівальни
232,nieprzewidywalny,непередбачуваний,нєпшевідівальни
233,skala,масштаб; шкала,скала
234,zakresowy,обмежений рамками,закресови
235,powiązany,пов’язаний,повйонзани
236,niepowiązany,непов’язаний,нєповйонзани
237,niezbędność,необхідність,нєзбенднощч
238,opcja,варіант; опція,опця
239,wybór,вибір,вибур
240,konfiguracja,налаштування; конфігурація,конфіґураця
241,ustawienie,налаштування; установка,уставєнє
242,domyślny,типовий; за замовчуванням,домишльни
243,niestandardowy,нетиповий; нестандартний,нєстандартови
244,dedykowany,призначений; виділений,дедиковани
245,integracja,інтеграція,інтеграція
246,kompatybilny,сумісний,компатибільни
247,niekompatybilny,несумісний,нєкомпатибільни
248,aktualizacja,оновлення; актуалізація,актуалізація
249,wersja,версія,версія
250,wdrożony,впроваджений,вдрошони
251,środowisko,середовище,шродовіско
252,otoczenie,оточення; середовище,оточенє
253,zależność,залежність,залєжнощч
254,interakcja,взаємодія,інтеракція
255,komunikacja,комунікація; спілкування,комунікація
256,przekaz,передача; повідомлення,пшекaз
257,informacja,інформація,інформація
258,powiadomienie,сповіщення; повідомлення,повядомєнє
259,reakcja,реакція,реакція
260,odpowiedź,відповідь,одповєдж
261,zgoda,згода; дозвіл,зґода
262,brakować,бракувати; не вистачати,браковач
263,dostarczenie,доставка; надання,достарчeнє
264,obsługa,обслуговування,обсвуга
265,wsparcie,підтримка,вспарчє
266,pomoc,допомога,помоц
267,interwencja,втручання,інтервенція
268,naprawa,ремонт; виправлення,направa
269,utrzymanie,підтримка; утримання,утшіманє
270,konserwacja,обслуговування; догляд,консервація
271,zabezpieczenie,захист; забезпечення,забезпеченє
272,awaryjny,аварійний,аварийни
273,standardowy,стандартний,стандартови
274,niestandardowy,нестандартний,нєстандартови
275,dedykowany,призначений; виділений,дедиковани
276,wydzielony,виділений,видзєльони
277,zastrzeżony,зарезервований; обмежений,застжежони
278,ograniczony,обмежений,огранічони
279,rozszerzony,розширений,рошшержони
280,podstawowy,базовий; основний,подставови
281,zaawansowany,просунутий; розширений,завансовани
282,wydajny,продуктивний,видайни
283,niewydajny,непродуктивний,нєвидайни
284,obciążenie,навантаження,обчонженє
285,przepustowość,пропускна здатність,пшепустовощч
286,optymalizacja,оптимізація,оптималізація
287,wydajność,продуктивність; ефективність,видайнощч
288,stabilność,стабільність,стабільнощч
289,niestabilność,нестабільність,нєстабільнощч
290,niezawodność,надійність; безвідмовність,нєзаводнощч
291,awaria,аварія; збій,аварія
292,przestój,простій; зупинка,пшестуй
293,opóźnienie,затримка,опужнєнє
294,przywracanie,відновлення,пшивраченє
295,odtwarzanie,відтворення,одтвашаньє
296,kopia,копія; резерв,копія
297,zapasowy,резервний,запасови
298,bezpieczeństwo,безпека,безпеченьство
299,zagrożenie,загроза,загроженє
300,ochrona,захист,охрона
301,dostępność,доступність,достемпнощч
302,ograniczenie,обмеження,огранічeнє
303,uproszczony,спрощений,упрошчони
304,złożony,складний; комплексний,зложони
305,kompleksowy,комплексний,комплексoви
306,szczególny,особливий,щчегульни
307,typowy,типовий,типови
308,wyjątkowy,винятковий,вийонткови
309,rzeczywisty,реальний; фактичний,жечивісти
310,pozorny,удаваний; видимий,позорни
311,pewny,певний; впевнений,певни
312,niepewny,непевний,нєпевни
313,zaufanie,довіра,зауфаньє
314,wiarygodność,достовірність; надійність,вяріґоднощч
315,odpowiedzialny,відповідальний,одповєджальни
316,kompetencja,компетенція; повноваження,компетенця
317,kwalifikacja,кваліфікація,кваліфікація
318,doświadczenie,досвід,дошвядченє
319,umiejętność,навичка; уміння,умєйентнощч
320,praktyka,практика,практика
321,teoria,теорія,теорія
322,wdrożenie,впровадження,вдрошенє
323,zarządzanie,управління; керування,зажонджанє
324,koordynacja,координація,координація
325,nadzór,нагляд,надзур
326,delegować,делегувати,делєґовач
327,odpowiednik,відповідник; аналог,одповєднік
328,zastępstwo,заміна; заступництво,застемпство
329,współpraca,співпраця,вспулпраца
330,partnerstwo,партнерство,партнерство
331,relacja,відносини; зв’язок,реляція
332,porozumiewać,порозуміватися,порозумєвач
333,negocjacja,переговори; домовленість,неґоцяція
334,ustępstwo,поступка,устемпство
335,konflikt,конфлікт,конфлікт
336,rozstrzygnąć,вирішити; остаточно визначити,рошчшигноньч
337,rozwiązanie,рішення; розв’язання,розвйонзанє
338,kompromis,компроміс,компроміс
339,korzyść,користь; вигода,кожищч
340,strata,втрата,страта
341,efektywność,ефективність,ефективнощч
342,opłacalny,вигідний; рентабельний,опуачальни
343,nierentowny,нерентабельний,нєрентoвни
344,zasadność,обґрунтованість,засаднощч
345,uzasadniony,обґрунтований,узасадньони
346,nieuzasadniony,необґрунтований,нєузасадньони
347,potrzeba,потреба,потршебa
348,zapotrzebowanie,потреба; запит,запотршебованє
349,oczekiwany,очікуваний,очеківани
350,nieoczekiwany,неочікуваний,нєочеківани
351,realny,реальний; здійсненний,реальни
352,nierealny,нереальний; нездійсненний,нєреальни
353,osiągalność,досяжність,осягальність
354,nieosiągalny,недосяжний,нєосягальний
355,skuteczność,ефективність; дієвість,скутечность
356,nieskuteczność,неефективність,нєскутечность
357,zależny,залежний,залєжни
358,niezależny,незалежний,нєзалєжни
359,eliminacja,усунення; ліквідація,елімінація
360,ograniczać,обмежувати,огранічач
361,umożliwić,уможливити; дозволити,уможлівіч
362,uniemożliwić,унеможливити; завадити,унєможлівіч
363,przewidywalność,передбачуваність,пшевідівальність
364,nieprzewidywalność,непередбачуваність,нєпшевідівальність
365,adekwatny,відповідний; адекватний,адекватни
366,nieadekwatny,невідповідний; неадекватний,нєадекватни
367,zastosowanie,застосування,застосованє
368,wykorzystanie,використання,використанє
369,nadużycie,зловживання,надужичє
370,legalny,законний,леґальни
371,nielegalny,незаконний,нєлеґальни
372,uprawniony,уповноважений; правомірний,управньони
373,nieuprawniony,неуповноважений,нєуправньони
374,odpowiedzialność,відповідальність,одповєджальність
375,bezpośredni,безпосередній,безпошредні
376,pośredni,опосередкований,пошредні
377,konkretny,конкретний,конкретни
378,ogólnikowy,загальний; нечіткий,огульнікови
379,precyzyjny,точний; прецизійний,прецижийни
380,nieprecyzyjny,неточний,нєпрецижийни
381,zrozumiały,зрозумілий,зрозумяли
382,niezrozumiały,незрозумілий,нєзрозумяли
383,jasny,ясний; зрозумілий,ясни
384,niejasny,неясний; нечіткий,нєясни
385,spójny,узгоджений; цілісний,спуйни
386,niespójny,неузгоджений,нєспуйни
387,logiczny,логічний,лоґічни
388,nielogiczny,нелогічний,нєлоґічни
389,uzasadnienie,обґрунтування,узасаднєнє
390,wnioskować,робити висновок,вньосковач
391,potwierdzenie,підтвердження,потвєрдженє
392,zaprzeczenie,заперечення,запжеченє
393,interpretacja,тлумачення; інтерпретація,інтерпретація
394,nadmierny,надмірний,надмєрни
395,niewystarczający,недостатній,нєвистарчонци
396,optymalny,оптимальний,оптимальни
397,nieoptymalny,неоптимальний,нєоптимальни
398,kluczowy,ключовий,клю́чови
399,poboczny,другорядний,побочни
400,istota,сутність; суть,істота
401,czynność,дія; операція,чиннощч
402,działanie,дія; діяльність,джялaнє
403,aktywność,активність,активнощч
404,pasywny,пасивний,пасивни
405,reaktywny,реактивний,реактивни
406,planowanie,планування,планованє
407,realizacja,реалізація,реалізація
408,wdrażanie,впровадження,вдражанє
409,oczekiwać,очікувати,очеківач
410,przewidzieć,передбачити,пшевідзєч
411,założyć,припустити; закласти,зауожич
412,przyjąć,прийняти,пшиянч
413,odrzucić,відхилити,оджучич
414,zaakceptować,схвалити; прийняти,заакцептовач
415,ocenić,оцінити,оценіч
416,porównać,порівняти,порувнач
417,analizować,аналізувати,аналізовач
418,wnioskować,робити висновок,вньосковач
419,uzasadnić,обґрунтувати,узасадніч
420,potwierdzić,підтвердити,потвєрджич
421,zakwestionować,поставити під сумнів,заквестіоновач
422,zaakceptowany,схвалений; прийнятий,заакцептовани
423,odrzucony,відхилений,оджучони
424,obowiązujący,чинний; обов’язковий,обовйо́нзуйонци
425,nieważny,недійсний,нєважни
426,aktualizacja,оновлення,актуалізація
427,zaktualizować,оновити,зактуалізовач
428,zmiana,зміна,змяна
429,modyfikacja,модифікація,модифікація
430,dostosowanie,адаптація; налаштування,достосованє
431,konfiguracja,конфігурація,конфіґурація
432,ustawienie,налаштування,уставєнє
433,domyślny,за замовчуванням,домишльни
434,ręczny,ручний,ренчни
435,automatyczny,автоматичний,автоматични
436,warstwa,шар; рівень,варства
437,poziom,рівень,позйом
438,strukturalny,структурний,структуральни
439,logika,логіка,лоґіка
440,mechanizm,механізм,механізм
441,algorytm,алгоритм,алґоритм
442,procesowy,процесний,процесови
443,etapowy,поетапний,етапови
444,sekwencja,послідовність,секвенця
445,zależny,залежний,залєжни
446,niezależny,незалежний,нєзалєжни
447,równoległy,паралельний,рувнолегли
448,separacja,відокремлення; поділ,сепарація
449,integracja,інтеграція,інтеграція
450,synchronizacja,синхронізація,синхронізація
451,asynchroniczny,асинхронний,асинхронічни
452,synchroniczny,синхронний,синхронічни
453,opóźnienie,затримка,опужнєнє
454,czasowy,часовий,часови
455,terminowość,своєчасність,терміновощч
456,priorytetyzacja,пріоритезація,пріоритизація
457,kolejka,черга,колєйка
458,zadanie,завдання,заданє
459,wykonanie,виконання,виконанє
460,postęp,прогрес; поступ,поступ
461,zakończenie,завершення,закончeнє
462,anulowanie,скасування,анульованє
463,powtórzenie,повторення,повторенє
464,obszar,область; сфера,обшар
465,zakres,обсяг; діапазон,закрес
466,granica,межа; кордон,ґраніца
467,przekroczyć,перевищити,пшекрочич
468,osiągnąć,досягти,осягноньч
469,utrzymać,утримати; зберегти,утшимаць
470,zachować,зберегти; дотриматись,заховач
471,utrata,втрата,утрата
472,odzyskać,повернути; відновити,одзискач
473,zwiększenie,збільшення,звєнкшенє
474,zmniejszenie,зменшення,змнєйшенє
475,wzrost,зростання,взрост
476,spadek,падіння; спад,спадек
477,stagnacja,стагнація; застій,стаґнація
478,trend,тенденція; тренд,тренд
479,prognoza,прогноз,проґноза
480,scenariusz,сценарій,сценарюш
481,alternatywny,альтернативний,альтернатиўни
482,docelowy,цільовий; кінцевий,доцелови
483,pośredni,проміжний,пошредні
484,końcowy,кінцевий,концовий
485,wstępny,попередній,встемпни
486,dodatkowy,додатковий,додаткови
487,opcjonalny,необов’язковий,опціональний
488,obowiązkowy,обов’язковий,обовйонзкови
489,ograniczony,обмежений,огранічони
490,nieograniczony,необмежений,нєогранічони
491,dostępny,доступний,достемпни
492,niedostępny,недоступний,нєдостемпни
493,publiczny,публічний,публічни
494,prywatny,приватний,приватни
495,zastrzeżony,зарезервований,застжежони
496,wspólny,спільний,вспульни
497,indywidualny,індивідуальний,індивідуальний
498,globalny,глобальний,ґлобальний
499,lokalny,локальний,локальний
500,ogólnodostępny,загальнодоступний,огульнодостемпни
501,użytkownik,користувач,ужитковнік
502,administrator,адміністратор,адміністратор
503,operator,оператор,оператор
504,uprawnienie,дозвіл; повноваження,управнєнє
505,autoryzacja,авторизація,авторизація
506,uwierzytelnienie,автентифікація,увєжительнєнє
507,dostępność,доступність,достемпнощч
508,logowanie,вхід; логування,лоґованє
509,wylogowanie,вихід,вилoґованє
510,profil,профіль,профіль
511,ustawienia,налаштування,уставєня
512,preferencja,налаштування; вподобання,преференця
513,konfiguracja,конфігурація,конфіґурація
514,uprawniony,уповноважений,управньони
515,nieuprawniony,неуповноважений,нєуправньони
516,bezpieczeństwo,безпека,безпеченьство
517,zagrożenie,загроза,загроженє
518,ochrona,захист,охрона
519,naruszenie,порушення,нарушенє
520,incydent,інцидент,інцидент
521,monitoring,моніторинг; нагляд,моніторинг
522,rejestr,реєстр; журнал,реєстр
523,zapis,запис; фіксація,запис
524,odczyt,читання; зчитування,одчит
525,modyfikacja,модифікація; зміна,модифікація
526,usunięcie,видалення,усунєнє
527,przywrócenie,відновлення,пшивручeнє
528,archiwizacja,архівація,архівізація
529,kopia,zапасна копія; копія,копія
530,przechowywanie,зберігання,пшеховиванє
531,zapisany,збережений; записаний,записани
532,odczytany,прочитаний,одчитани
533,aktywny,активний,активни
534,nieaktywny,неактивний,нєактивни
535,domyślny,типовий; за замовчуванням,домишльни
536,niestandardowy,нестандартний,нєстандартови
537,obsługa,обслуговування,обсвуга
538,wsparcie,підтримка,вспарчє
539,dokumentacja,документація,документація
540,instrukcja,інструкція,інструкція
541,procedura,процедура,процедура
542,regulamin,регламент; правила,реґуламін
543,zgodność,відповідність,зґоднощч
544,niezgodność,невідповідність,нєзґоднощч
545,wymaganie,вимога,вимаганє
546,spełnienie,виконання; дотримання,спевнєнє
547,niespełnienie,невиконання,нєспевнєнє
548,zatwierdzenie,затвердження,затвєрдженє
549,odrzucenie,відхилення,оджучeнє
550,akceptacja,прийняття; схвалення,акцептація
551,komunikat,повідомлення; оголошення,комунікат
552,powiadomić,повідомити; сповістити,повядоміч
553,alert,сповіщення; тривога,алерт
554,wiadomość,повідомлення,вядомощч
555,odpowiedzieć,відповісти,одповєджєч
556,zapytanie,запит; звернення,запитанє
557,żądanie,вимога,жонданє
558,prośba,прохання,просьба
559,skarga,скарга,скарґa
560,reklamacja,претензія; рекламація,рекламaція
561,rozpatrzenie,розгляд,рошпатшенє
562,decyzja,рішення,децизйя
563,postanowienie,постанова; рішення,постанoвєнє
564,odwołanie,оскарження; апеляція,одвоуанє
565,apelacja,апеляція,апеляція
566,rozstrzygnięcie,остаточне рішення,рошчшигньонцє
567,wyrok,вирок; рішення суду,вирок
568,umorzenie,припинення; закриття,уморшенє
569,rozliczenie,розрахунок; звіт,рошліченє
570,rachunek,рахунок,рахунок
571,faktura,рахунок-фактура,фактура
572,płatność,платіж,платнощч
573,opłata,оплата; збір,оплата
574,koszt,вартість; витрата,кост
575,wydatek,витрата,видатек
576,przychód,дохід,пшичуд
577,zysk,прибуток,зиск
578,strata,збиток; втрата,страта
579,rozliczyć,розрахувати; врегулювати,рошлічич
580,uregulować,врегулювати; оплатити,уреґуловач
581,zaległość,заборгованість,залєґлощч
582,termin płatności,строк оплати,термін пватнощч
583,zwrot,повернення,зврут
584,refundacja,відшкодування,рефундація
585,rozliczenie końcowe,остаточний розрахунок,рошліченє концове
586,budżet,бюджет,буджет
587,finansowanie,фінансування,фінансованє
588,środki,кошти; ресурси,шродкі
589,kapitał,капітал,капітау
590,inwestycja,інвестиція,інвестиція
591,opłacalność,рентабельність; вигідність,опуачальнощч
592,rynek,ринок,ринек
593,konkurencja,конкуренція,конкуренція
594,oferta,пропозиція,оферта
595,umowa,договір,умова
596,warunki umowy,умови договору,варункі умови
597,negocjować,вести переговори,нєґоцйовач
598,kontrakt,контракт; угода,контракт
599,realizacja umowy,виконання договору,реалізація умови
600,wypowiedzenie,розірвання; повідомлення,виповєдженє
601,obowiązywać,діяти; бути чинним,обовйонзувати
602,ważność,чинність; важливість,важнощч
603,nieważność,недійсність,нєважнощч
604,przedłużyć,продовжити,пшедлужич
605,skrócić,скоротити,скручич
606,odstąpić,відмовитись; відступити,одстемпіч
607,zobowiązać,зобов’язати,зобовйонзач
608,egzekwować,вимагати виконання,еґзеквовач
609,przestrzegać,дотримуватись,пшестшегач
610,naruszać,порушувати,нарушач
611,odpowiedzialność prawna,юридична відповідальність,одповєджальність правна
612,sankcja,санкція; стягнення,санкція
613,kara,покарання; штраф,кара
614,mandat,штраф; мандат,мандат
615,odszkodowanie,відшкодування,одшкодованє
616,roszczenie,вимога; позов,рошченє
617,pozew,позов,позев
618,spór,спір; конфлікт,спур
619,strona,сторона,строна
620,postępowanie,провадження; процедура,постемпованє
621,organ,орган,орган
622,właściwy,відповідний; компетентний,влашчіви
623,niewłaściwy,невідповідний,нєвлашчіви
624,kompetentny,компетентний,компетентни
625,upoważnić,уповноважити,уповажніч
626,pełnomocnik,довірена особа; представник,пелномоцнік
627,reprezentować,представляти,репрезентоваć
628,zaświadczenie,довідка; сертифікат,защвядченє
629,potwierdzenie odbioru,підтвердження отримання,потвєрдженє одбіору
630,termin składania,кінцевий строк подання,термін складаня
631,wniesienie,подання; внесення,вньєшенє
632,złożenie,подання; складання,зложенє
633,odrzucenie wniosku,відхилення заяви,оджученє вньоску
634,rozpatrzyć,розглянути,рошпатшич
635,przyjąć do rozpatrzenia,прийняти до розгляду,пшиянч до рошпатшеня
636,pozostawić bez rozpatrzenia,залишити без розгляду,позоставіч без рошпатшеня
637,uchylić,скасувати,ухиліч
638,zmienić,змінити,змєніч
639,utrzymać w mocy,залишити в силі,утшимаć в моци
640,opublikować,опублікувати,опубліковач
641,ogłoszenie,оголошення,оглошенє
642,wejść w życie,набрати чинності,вєйшч в жицє
643,obowiązujący od,чинний з,обовйонзуйонци од
644,termin wejścia,дата набрання чинності,термін вєйшча
645,akt prawny,правовий акт,акт правни
646,przepis,норма; припис,пшепіс
647,artykuł,стаття,артикул
648,paragraf,параграф,параґраф
649,ustawa,закон,устава
650,rozporządzenie,постанова; розпорядження,розпоржондзенє
651,wytyczne,настанови; вказівки,витичнє
652,rekomendacja,рекомендація,рекомендація
653,interpretować,тлумачити; інтерпретувати,інтерпретовач
654,stosować,застосовувати,стосовач
655,wdrażać,впроваджувати,вдражач
656,egzekucja,примусове виконання; стягнення,еґзекуція
657,nadzwyczajny,надзвичайний,надзвичайни
658,wyjątkowo,винятково,вийонтково
659,standardowo,зазвичай; стандартно,стандартово
660,częściowy,частковий,ченщчови
661,całkowity,повний; цілковитий,цалковіти
662,ograniczyć,обмежити,огранічич
663,rozszerzyć,розширити,рошшержич
664,zawęzić,звузити,завенжич
665,dopuszczalny,допустимий,допущчальний
666,niedopuszczalny,неприпустимий,нєдопущчальний
667,równoważny,еквівалентний; рівнозначний,рувноважни
668,nieproporcjonalny,непропорційний,нєпропорціональний
669,uzasadniony,обґрунтований,узасадньони
670,bezpodstawny,безпідставний,безподставни
671,zasadny,обґрунтований; слушний,засадни
672,bezzasadny,безпідставний,беззасадни
673,sprawiedliwy,справедливий,справєдлівий
674,niesprawiedliwy,несправедливий,нєсправєдлівий
675,równość,рівність,рувнощч
676,nierówność,нерівність,нєрувнощч
677,ochrona danych,захист даних,охрона даних
678,prywatność,приватність,приватнощч
679,poufność,конфіденційність,пуфнощч
680,ujawnienie,розкриття; оприлюднення,уявнєнє
681,nadużycie danych,зловживання даними,надужичє даних
682,bezpieczeństwo informacji,інформаційна безпека,безпеченьство інформації
683,ryzyko operacyjne,операційний ризик,ризико операційне
684,zarządzanie ryzykiem,управління ризиками,зажонджанє ризиком
685,plan awaryjny,аварійний план,план аварийни
686,ciągłość działania,безперервність діяльності,чонґлощч джялaня
687,odporność,стійкість,одпорнощч
688,awaryjność,аварійність,аварийнощч
689,niezawodność systemu,надійність системи,нєзаводнощч системи
690,przeciążenie,перевантаження,пшечонженє
691,skalowanie,масштабування,скалованє
692,automatyzacja,автоматизація,автоматизація
693,manualny,ручний,мануальний
694,wydzielić,виділити,видзєльич
